Descricao
"['Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora. ']"
"['Sol, com chuva de manhã e diminuição de nuvens à tarde. Noite com pouca nebulosidade. ']"
['Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite. ']
"['Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora. ']"
"['Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora. ']"
"['Sol com muitas nuvens durante o dia. Períodos de nublado, com chuva a qualquer hora. ']"
['Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite. ']
"['Sol, com chuva de manhã e diminuição de nuvens à tarde. Noite com pouca nebulosidade. ']"
['Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite. ']
['Sol com algumas nuvens. Não chove. ']
['Sol com algumas nuvens. Não chove. ']
"['Sol, com chuva de manhã e diminuição de nuvens à tarde. Noite com pouca nebulosidade. ']"
['Sol e aumento de nuvens de manhã. Pancadas de chuva à tarde e à noite. ']
['Sol com algumas nuvens. Não chove. ']
['Sol com algumas nuvens. Não chove. ']
